Date/heure : 2023-09-07 10:06:15, Température : 30 °C
Date/heure : 2023-09-07 10:06:20, Température : 30 °C
Date/heure : 2023-09-07 10:08:23, Température : 30 °C
Date/heure : 2023-09-07 10:08:28, Température : 30 °C
Date/heure : 2023-09-07 10:08:33, Température : 30 °C
Date/heure : 2023-09-07 10:10:58, Température : 30 °C
Date/heure : 2023-09-07 10:11:03, Température : 30 °C
Date/heure : 2023-09-07 10:11:08, Température : 30 °C
Date/heure : 2023-09-07 11:31:51, Température : 31 °C
Date/heure : 2023-09-07 11:31:56, Température : 31 °C
Date/heure : 2023-09-07 11:32:01, Température : 31 °C
Date/heure : 2023-09-07 11:32:58, Température : 31 °C
Date/heure : 2023-09-07 11:33:03, Température : 31 °C
Date/heure : 2023-09-07 11:33:08, Température : 31 °C
Date/heure : 2023-09-07 15:15:15, Température : 29 °C
Date/heure : 2023-09-07 15:15:20, Température : 29 °C
Date/heure : 2023-09-07 15:15:25, Température : 29 °C
Date/heure : 2023-09-07 16:03:14, Température : 31 °C
Date/heure : 2023-09-07 16:03:19, Température : 31 °C
Date/heure : 2023-09-07 16:03:24, Température : 32 °C
Date/heure : 2023-09-07 16:07:51, Température : 32 °C
Date/heure : 2023-09-07 16:07:56, Température : 32 °C
Date/heure : 2023-09-07 16:08:01, Température : 32 °C
Date/heure : 2023-09-07 16:10:44, Température : 31 °C
Date/heure : 2023-09-07 16:10:49, Température : 31 °C
Date/heure : 2023-09-07 16:10:54, Température : 31 °C
Date/heure : 2023-09-07 16:12:16, Température : 31 °C
Date/heure : 2023-09-07 16:12:21, Température : 31 °C
Date/heure : 2023-09-07 16:12:26, Température : 31 °C
Date/heure : 2023-09-07 17:45:02, Température : 25 °C
Date/heure : 2023-09-07 17:45:07, Température : 25 °C
Date/heure : 2023-09-07 17:45:12, Température : 25 °C
